# |  (C) 2008-2018 Potsdam Institute for Climate Impact Research (PIK),
# |  authors, and contributors see AUTHORS file
# |  This file is part of MAgPIE and licensed under GNU AGPL Version 3
# |  or later. See LICENSE file or go to http://www.gnu.org/licenses/
# |  Contact: magpie@pik-potsdam.de
name,type,reason
pm_interest, input, not used
pm_climate_class, input, not used
pm_bcef, input, not used
pm_rot_length_estb, input, not used
pm_time_diff, parameter, not used
fm_growth_par, input, not used
p32_interest, parameter, not used
fm_climate_class, input, not used
fm_interest, input, not used
fm_distance, input, not used
fm_transport_costs, input, not used
