# |  (C) 2008-2020 Potsdam Institute for Climate Impact Research (PIK),
# |  authors, and contributors see AUTHORS file
# |  This file is part of MAgPIE and licensed under GNU AGPL Version 3
# |  or later. See LICENSE file or go to http://www.gnu.org/licenses/
# |  Contact: magpie@pik-potsdam.de
name,type,reason
pm_land_start, input, not used
pm_interest, input, not used
pm_interest_dev, input, not used
pm_selfsuff_ext, input, not used
f32_harvest_cost_ha, input, not used
pm_climate_class, input, not used
fm_growth_par, input, not used
pm_demand_ext, input, not used
vm_hvarea_forestry, var, not used
vm_forestry_reduction, var, not used
sm_fix_SSP2, input, not needed
pm_timber_yield, input, not used
pm_carbon_density_ac_forestry, input, not used
fm_self_suff, input, not used
