# |  (C) 2008-2020 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of MAgPIE and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  MAgPIE License Exception, version 1.0 (see LICENSE file).
# |  Contact: magpie@pik-potsdam.de
name,type,reason
pm_carbon_density_ac, input,not used
pm_land_start, input,not used
v35_secdforest_reduction, variable, not used
v35_primforest_reduction, variable, not used
v35_other_reduction, variable, not used
sm_fix_SSP2, input, not used
im_plantedclass_ac, par, not used
pm_timber_yield, par, not used
pm_timber_yield_initial, par, not used
sm_wood_density, scalar, not used
vm_prod_natveg, var, not used
