# |  (C) 2008-2020 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of MAgPIE and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  MAgPIE License Exception, version 1.0 (see LICENSE file).
# |  Contact: magpie@pik-potsdam.de

name,type,reason
vm_nr_som_fertilizer, input, not needed
vm_area,input,not needed
vm_manure,input, not needed
vm_manure_recycling,input, not needed
vm_res_recycling,input, not needed
vm_res_biomass_ag,input, not needed
vm_res_biomass_bg,input, not needed
fm_attributes,input, not needed
vm_prod_reg,input, not needed
vm_dem_seed,input, not needed
vm_land,input,questionnaire
