NPI/NDC policies 
MAgPIE 
Tue Sep 11 16:26:44 2018 
 
##---------------------------------------------------------------------------- 
## Avoiding Deforestation - AD (%) 
## percentage protection: 0 = no protection, 1 = full protection 
## Ref: BaseYear (1), Baseline (2) 
 
############## 
### NPI AD ### 
############## 
   dummy   targettype   baseyear   targetyear   target
     LAX            1       2005         2020     0.80
     CEX            1       2005         2020     0.40
     ZAF            1       1995         1995     1.00
     CHN            2       1995         1995     1.00
     IND            2       2005         2005     1.00
     NPL            1       2005         2005     1.00
     VNM            1       1995         1995     1.00
     ESP            1       2015         2020     0.80
     IRL            1       2015         2020     0.80
     PRT            1       2015         2020     0.80
     GBR            1       2015         2020     0.80
     FRA            1       2015         2020     0.80
     BEL            1       2015         2020     0.80
     NLD            1       2015         2020     0.80
     NOR            1       2015         2020     0.80
     LUX            1       2015         2020     0.80
     DEU            1       2015         2020     0.80
     CHE            1       2015         2020     0.80
     ITA            1       2015         2020     0.80
     DNK            1       2015         2020     0.80
     AUT            1       2015         2020     0.80
     SWE            1       2015         2020     0.80
     CZE            1       2015         2020     0.80
     HRV            1       2015         2020     0.80
     SVN            1       2015         2020     0.80
     POL            1       2015         2020     0.80
     HUN            1       2015         2020     0.80
     SVK            1       2015         2020     0.80
     GRC            1       2015         2020     0.80
     ROU            1       2015         2020     0.80
     LTU            1       2015         2020     0.80
     LVA            1       2015         2020     0.80
     FIN            1       2015         2020     0.80
     EST            1       2015         2020     0.80
     BGR            1       2015         2020     0.80
     CYP            1       2015         2020     0.80
     MEX            1       2005         2030     1.00
     USA            1       1995         1995     1.00
     ECU            1       2005         2005     1.00
     PAN            1       2015         2015     1.00
     URY            1       1995         1995     1.00
     MAR            1       2010         2010     1.00
     TUN            1       1995         1995     1.00
     PSE            1       1995         1995     1.00
     CAN            1       1995         1995     0.90
     AUS            1       2010         2010     1.00
     JPN            1       1995         1995     1.00
     NZL            1       1995         1995     1.00
     IDN            1       2010         2020     0.34
 
############## 
### NDC AD ### 
############## 
   dummy   targettype   baseyear   targetyear   target
     LAX            1       2015         2030   1.0000
     SEN            1       2020         2020   1.0000
     GHA            1       2020         2020   1.0000
     BEN            1       2020         2030   0.0100
     NAM            2       2020         2030   0.0598
     AGO            1       2020         2030   0.6000
     CAF            1       2020         2030   0.2500
     ZAF            1       1995         1995   1.0000
     BDI            1       2015         2015   1.0000
     RWA            1       2015         2015   1.0000
     UGA            1       2020         2030   1.0000
     ETH            1       2020         2020   1.0000
     CHN            2       1995         1995   1.0000
     IND            2       2005         2005   1.0000
     NPL            1       2005         2005   1.0000
     LAO            1       2020         2020   1.0000
     THA            1       2020         2020   1.0000
     KHM            1       2010         2010   1.0000
     VNM            1       1995         1995   1.0000
     ESP            1       2015         2030   1.0000
     IRL            1       2015         2030   1.0000
     PRT            1       2015         2030   1.0000
     GBR            1       2015         2030   1.0000
     FRA            1       2015         2030   1.0000
     BEL            1       2015         2030   1.0000
     NLD            1       2015         2030   1.0000
     NOR            1       2015         2030   1.0000
     LUX            1       2015         2030   1.0000
     DEU            1       2015         2030   1.0000
     CHE            1       2015         2030   1.0000
     ITA            1       2015         2030   1.0000
     DNK            1       2015         2030   1.0000
